L0	L1	L2
003701411321M8	00370141000001	00370000000000
006808097996M8	00680809000001	00680000000000
007407144007M8	00740714000001	00740000000000
4004	0214	0068
007102934392M8	00710293000001	00710000000000
007407142697M8	00740714000001	00740000000000
0184	0184	0056
008105575229M8	00810557000001	00810000000000
007902836932M8	00790283000001	00790000000000
9633	0171	0079
007407145284M8	00740714000001	00740000000000
007407146745M8	00740714000001	00740000000000
9688	0796	0079
4766	0205	0039
008406151354M8	00840615000001	00840000000000
005205673019M8	00520567000001	00520000000000
007407146169M8	00740714000001	00740000000000
8483	0618	0050
5626	0441	0056
008709177787M8	00870917000001	00870000000000
003701984880M8	00370198000001	00370000000000
007407142982M8	00740714000001	00740000000000
006006618525V8	00600661000001	00600000000000
7972	0205	0039
5358	0171	0079
003902053680M8	00390205000001	00390000000000
005604417589M8	00560441000001	00560000000000
008706989129M8	00870698000001	00870000000000
1756	0698	0087
2598	0698	0087
00370431000001	00370431000001	00370000000000
008406152116M8	00840615000001	00840000000000
6743	0708	0064
008709178124M8	00870917000001	00870000000000
2433	0283	0079
007407149018M8	00740714000001	00740000000000
7820	0917	0087
9527	0708	0064
008709176283M8	00870917000001	00870000000000
6772	0668	0071
007407148298M8	00740714000001	00740000000000
4055	0586	0079
005002479058M8	00500247000001	00500000000000
3967	0714	0074
7958	0432	0079
2958	0441	0056
007407141424M8	00740714000001	00740000000000
005208343684M8	00520834000001	00520000000000
006807123840M8	00680712000001	00680000000000
008706981728M8	00870698000001	00870000000000
6898	0353	0037
9505	0792	0060
6663	0171	0079
4381	0303	0068
003703054549V7	00370305000001	00370000000000
005004865673M8	00500486000001	00500000000000
006806389164M8	00680638000001	00680000000000
2330	0668	0071
8672	0480	0084
006001918167M8	00600191000001	00600000000000
006009011182M8	00600901000001	00600000000000
007102931830M8	00710293000001	00710000000000
007407148412M8	00740714000001	00740000000000
006406224851M8	00640622000001	00640000000000
2153	0899	0084
4959	0557	0081
006806389842M8	00680638000001	00680000000000
5243	0478	0074
4827	0732	0087
6434	0698	0087
006002723823M8	00600272000001	00600000000000
004501301526M8	00450130000001	00450000000000
8860	0272	0060
4130	0917	0087
8537	0618	0050
008709173965M8	00870917000001	00870000000000
008709175141M8	00870917000001	00870000000000
0796	0796	0079
4379	0586	0079
8074	0441	0056
003902054245M8	00390205000001	00390000000000
006802148779M8	00680214000001	00680000000000
5640	0712	0068
8989	0622	0064
5611	0502	0071
008408996338M8	00840899000001	00840000000000
4143	0502	0071
006806382486M8	00680638000001	00680000000000
003703384020M8	00370338000001	00370000000000
007905866699M8	00790586000001	00790000000000
005004862800M8	00500486000001	00500000000000
8084	0714	0074
4889	0586	0079
008709172646M8	00870917000001	00870000000000
005004865052M8	00500486000001	00500000000000
1081	0622	0064
008706981262M8	00870698000001	00870000000000
006804308712M8	00680430000001	00680000000000
3122	0714	0074
007407144615M8	00740714000001	00740000000000
005601841017M8	00560184000001	00560000000000
0622	0622	0064
008108241160M8	00810824000001	00810000000000
4914	0293	0071
006007929506M8	00600792000001	00600000000000
3480	0353	0037
9484	0732	0087
2231	0714	0074
004501302281M8	00450130000001	00450000000000
008709174130M8	00870917000001	00870000000000
4348	0917	0087
006001913473M8	00600191000001	00600000000000
004508033562M8	00450803000001	00450000000000
004504424669M7	00450442000001	00450000000000
1546	0441	0056
004508036081M8	00450803000001	00450000000000
1640	0255	0052
005002479519M8	00500247000001	00500000000000
007404783260M8	00740478000001	00740000000000
1449	0725	0037
8083	0712	0068
5445	0622	0064
008707328793M8	00870732000001	00870000000000
2474	0653	0037
006804308541M8	00680430000001	00680000000000
5714	0255	0052
007407142324M8	00740714000001	00740000000000
6461	0622	0064
004508037551M8	00450803000001	00450000000000
008707324951M8	00870732000001	00870000000000
006804305399M8	00680430000001	00680000000000
005208349352M8	00520834000001	00520000000000
1171	0824	0081
9853	0184	0056
008406159500M5	00840615000001	00840000000000
003902058382M8	00390205000001	00390000000000
003702457037M8	00370245000001	00370000000000
003703535108M8	00370353000001	00370000000000
005202559430M8	00520255000001	00520000000000
4109	0624	0068
007407149799M8	00740714000001	00740000000000
8115	0928	0060
5110	0725	0037
2983	0441	0056
8757	0142	0087
3819	0486	0050
9333	0247	0050
005006186479M7	00500618000001	00500000000000
2346	0293	0071
2603	0714	0074
6286	0430	0068
00840899000001	00840899000001	00840000000000
008701427933M8	00870142000001	00870000000000
006002725620M8	00600272000001	00600000000000
9717	0283	0079
9494	0130	0045
006802142463M8	00680214000001	00680000000000
005604412977M8	00560441000001	00560000000000
1585	0725	0037
3001	0725	0037
006009014978M8	00600901000001	00600000000000
006406229470M8	00640622000001	00640000000000
4049	0618	0050
8257	0198	0037
5453	0907	0056
2851	0661	0060
3482	0714	0074
3812	0809	0068
005002472819M8	00500247000001	00500000000000
007105025711M8	00710502000001	00710000000000
7691	0698	0087
003706536086V7	00370653000001	00370000000000
4346	0714	0074
8405	0441	0056
007407141337M8	00740714000001	00740000000000
008108244173M8	00810824000001	00810000000000
008404806641M8	00840480000001	00840000000000
7653	0899	0084
006009033688M8	00600903000001	00600000000000
006009289777M8	00600928000001	00600000000000
007407144713M8	00740714000001	00740000000000
7599	0698	0087
2804	0353	0037
008709171163M8	00870917000001	00870000000000
5631	0502	0071
007902834266M8	00790283000001	00790000000000
007907966034M8	00790796000001	00790000000000
2525	0796	0079
004501303700M8	00450130000001	00450000000000
006407086677M8	00640708000001	00640000000000
1836	0714	0074
008105574525M8	00810557000001	00810000000000
1370	0901	0060
9078	0732	0087
1149	0480	0084
005006181351M8	00500618000001	00500000000000
8687	0586	0079
004508039453M8	00450803000001	00450000000000
008706988038M8	00870698000001	00870000000000
008709174544M8	00870917000001	00870000000000
1309	0928	0060
7278	0901	0060
3022	0141	0037
003902054056M8	00390205000001	00390000000000
008706986564M8	00870698000001	00870000000000
005205673131M8	00520567000001	00520000000000
007901715211M8	00790171000001	00790000000000
006806241628M8	00680624000001	00680000000000
005002477539M8	00500247000001	00500000000000
003704316062M8	00370431000001	00370000000000
4356	0928	0060
5952	0171	0079
007105025928M8	00710502000001	00710000000000
003902052533M8	00390205000001	00390000000000
008108246042M8	00810824000001	00810000000000
2318	0792	0060
9534	0272	0060
1844	0622	0064
007902836666M8	00790283000001	00790000000000
005006185501M8	00500618000001	00500000000000
006806246082M8	00680624000001	00680000000000
4498	0272	0060
007907967393M8	00790796000001	00790000000000
4033	0486	0050
3282	0255	0052
1527	0638	0068
4517	0917	0087
6344	0247	0050
006009287831M8	00600928000001	00600000000000
2438	0618	0050
7770	0255	0052
9108	0653	0037
5967	0714	0074
008707323988M8	00870732000001	00870000000000
3327	0698	0087
003707257110M8	00370725000001	00370000000000
006402841619M8	00640284000001	00640000000000
3870	0714	0074
007102931110M8	00710293000001	00710000000000
2880	0557	0081
006406223030M8	00640622000001	00640000000000
007901717167M7	00790171000001	00790000000000
4221	0502	0071
1016	0283	0079
008105574751M8	00810557000001	00810000000000
4292	0478	0074
4900	0796	0079
3694	0792	0060
3986	0283	0079
2799	0586	0079
8850	0796	0079
008706986433M8	00870698000001	00870000000000
1348	0714	0074
007905862489M8	00790586000001	00790000000000
4763	0899	0084
008408994548M8	00840899000001	00840000000000
007904327635M8	00790432000001	00790000000000
6420	0214	0068
007407145868M8	00740714000001	00740000000000
003703531877M8	00370353000001	00370000000000
007407149800M8	00740714000001	00740000000000
007407148952M8	00740714000001	00740000000000
9417	0338	0037
3235	0205	0039
007407149849M8	00740714000001	00740000000000
1024	0291	0079
2653	0917	0087
2707	0284	0064
9800	0714	0074
003902054898M8	00390205000001	00390000000000
007907938590M8	00790793000001	00790000000000
5945	0732	0087
007407144984M8	00740714000001	00740000000000
007407148990M8	00740714000001	00740000000000
007407148347M8	00740714000001	00740000000000
008709175100M8	00870917000001	00870000000000
8325	0834	0052
007905865905M8	00790586000001	00790000000000
5344	0430	0068
008408991888M8	00840899000001	00840000000000
005604412991M8	00560441000001	00560000000000
6174	0486	0050
7477	0442	0045
006804302879M8	00680430000001	00680000000000
004502513461M8	00450251000001	00450000000000
008706988379M8	00870698000001	00870000000000
007904324583M7	00790432000001	00790000000000
007407141313M8	00740714000001	00740000000000
006001912774M8	00600191000001	00600000000000
3009	0205	0039
003704313205M7	00370431000001	00370000000000
1852	0441	0056
2904	0441	0056
2963	0917	0087
5408	0796	0079
006009281559M8	00600928000001	00600000000000
2068	0792	0060
006406224769V8	00640622000001	00640000000000
003706539108V8	00370653000001	00370000000000
007407143747M8	00740714000001	00740000000000
7439	0708	0064
7793	0283	0079
4954	0698	0087
9339	0431	0037
1771	0431	0037
007407144649M8	00740714000001	00740000000000
008105576857M8	00810557000001	00810000000000
007905863732M8	00790586000001	00790000000000
2349	0430	0068
007407147200M8	00740714000001	00740000000000
6113	0638	0068
007901715916M8	00790171000001	00790000000000
5959	0284	0064
1300	0714	0074
5867	0714	0074
007407145505M8	00740714000001	00740000000000
006406224945M8	00640622000001	00640000000000
7649	0130	0045
9621	0618	0050
007407143550M8	00740714000001	00740000000000
008709177820M8	00870917000001	00870000000000
0142	0142	0087
4549	0305	0037
3432	0661	0060
007102935618M8	00710293000001	00710000000000
8527	0586	0079
006007924273M8	00600792000001	00600000000000
9360	0714	0074
6469	0486	0050
8485	0712	0068
006806387229M8	00680638000001	00680000000000
006407084410M8	00640708000001	00640000000000
006807129166M8	00680712000001	00680000000000
008408997494M8	00840899000001	00840000000000
5994	0714	0074
007407143483M8	00740714000001	00740000000000
1157	0205	0039
0719	0719	0037
008707328343M8	00870732000001	00870000000000
004501307902M8	00450130000001	00450000000000
003702457498M8	00370245000001	00370000000000
007407144661M8	00740714000001	00740000000000
9098	0661	0060
00680638000001	00680638000001	00680000000000
7925	0661	0060
2561	0205	0039
3366	0441	0056
003902055946M8	00390205000001	00390000000000
007407142231M8	00740714000001	00740000000000
005604418890M8	00560441000001	00560000000000
007407146636M8	00740714000001	00740000000000
6564	0698	0087
007907968123M8	00790796000001	00790000000000
6902	0586	0079
4677	0855	0081
3145	0708	0064
005601847029M8	00560184000001	00560000000000
2772	0824	0081
8398	0480	0084
6143	0712	0068
5705	0622	0064
008406155196M8	00840615000001	00840000000000
006804306055M8	00680430000001	00680000000000
5419	0441	0056
008408997750M8	00840899000001	00840000000000
4344	0198	0037
008707322221M8	00870732000001	00870000000000
007901712699M8	00790171000001	00790000000000
008706987507M8	00870698000001	00870000000000
006802141957M7	00680214000001	00680000000000
003701418764M8	00370141000001	00370000000000
008706988218M8	00870698000001	00870000000000
7284	0441	0056
005002473188M8	00500247000001	00500000000000
2553	0668	0071
003703057701M8	00370305000001	00370000000000
4740	0442	0045
8199	0732	0087
4409	0714	0074
004505143520M8	00450514000001	00450000000000
003706531391M8	00370653000001	00370000000000
006807121421M8	00680712000001	00680000000000
0272	0272	0060
2789	0917	0087
5731	0917	0087
1498	0714	0074
007407144041M8	00740714000001	00740000000000
006802144004M8	00680214000001	00680000000000
007905865544M8	00790586000001	00790000000000
008406152973M8	00840615000001	00840000000000
2197	0622	0064
007407142292M8	00740714000001	00740000000000
005601849673M8	00560184000001	00560000000000
006006613790M8	00600661000001	00600000000000
4825	0698	0087
6659	0557	0081
007102936530M8	00710293000001	00710000000000
005604417183M8	00560441000001	00560000000000
9367	0796	0079
007905869787M8	00790586000001	00790000000000
007907961699M8	00790796000001	00790000000000
003703534471M8	00370353000001	00370000000000
9362	0725	0037
003902051807M8	00390205000001	00390000000000
8597	0834	0052
4865	0899	0084
008408994981M8	00840899000001	00840000000000
008706984694M8	00870698000001	00870000000000
4063	0184	0056
7657	0917	0087
008404807433M8	00840480000001	00840000000000
008709175378M8	00870917000001	00870000000000
0928	0928	0060
007902917042M7	00790291000001	00790000000000
007902911022M8	00790291000001	00790000000000
8301	0732	0087
7549	0732	0087
007407144855M8	00740714000001	00740000000000
9041	0245	0037
9483	0793	0079
005205679227M8	00520567000001	00520000000000
1237	0638	0068
008706981858M8	00870698000001	00870000000000
008706987930M8	00870698000001	00870000000000
008406152993M8	00840615000001	00840000000000
007106681716M7	00710668000001	00710000000000
2022	0714	0074
008406157839M5	00840615000001	00840000000000
003703382764M8	00370338000001	00370000000000
006807128213M7	00680712000001	00680000000000
4225	0899	0084
6066	0708	0064
007404789531M8	00740478000001	00740000000000
008706988410M8	00870698000001	00870000000000
7120	0184	0056
1684	0293	0071
7946	0502	0071
7474	0305	0037
7542	0796	0079
6609	0205	0039
5847	0714	0074
006009016416M8	00600901000001	00600000000000
008709178833M8	00870917000001	00870000000000
008404802761M5	00840480000001	00840000000000
8836	0792	0060
7738	0855	0081
004501302025M7	00450130000001	00450000000000
007407147330M8	00740714000001	00740000000000
005208344155M8	00520834000001	00520000000000
008709172559M8	00870917000001	00870000000000
6986	0809	0068
6305	0732	0087
7779	0899	0084
6717	0430	0068
9307	0698	0087
1883	0824	0081
007907961579M8	00790796000001	00790000000000
006406221261M8	00640622000001	00640000000000
007106688788V8	00710668000001	00710000000000
005202559696M8	00520255000001	00520000000000
007907936724M8	00790793000001	00790000000000
7892	0661	0060
2679	0901	0060
4966	0205	0039
3569	0668	0071
005601841658M8	00560184000001	00560000000000
003702459838M8	00370245000001	00370000000000
3486	0142	0087
3148	0834	0052
008408999626M8	00840899000001	00840000000000
5132	0928	0060
3046	0809	0068
8123	0796	0079
003703537122M8	00370353000001	00370000000000
4943	0890	0037
2744	0661	0060
1200	0205	0039
008706984422M8	00870698000001	00870000000000
006007928140V5	00600792000001	00600000000000
007905281129M8	00790528000001	00790000000000
4389	0251	0045
006009034408M8	00600903000001	00600000000000
006001912779M8	00600191000001	00600000000000
005601844102M8	00560184000001	00560000000000
004507350000L4	004507350000L4	00450000000000
006402841857M8	00640284000001	00640000000000
4774	0809	0068
006807124628M8	00680712000001	00680000000000
003902051157M8	00390205000001	00390000000000
5669	0615	0084
007905864889M8	00790586000001	00790000000000
006402842667M7	00640284000001	00640000000000
006406228198M8	00640622000001	00640000000000
2468	0624	0068
008408993042M8	00840899000001	00840000000000
008709178040M8	00870917000001	00870000000000
003707258421M7	00370725000001	00370000000000
005002473244M8	00500247000001	00500000000000
6543	0732	0087
6084	0514	0045
8477	0651	0037
6671	0442	0045
008709179585M8	00870917000001	00870000000000
8095	0205	0039
008108553447M8	00810855000001	00810000000000
003703532949M8	00370353000001	00370000000000
007106688842M8	00710668000001	00710000000000
008408992813M8	00840899000001	00840000000000
5965	0714	0074
2928	0141	0037
004504422105M8	00450442000001	00450000000000
005601841875M8	00560184000001	00560000000000
9516	0130	0045
006804301921M8	00680430000001	00680000000000
003707194912V8	00370719000001	00370000000000
007106686826V5	00710668000001	00710000000000
8191	0732	0087
4331	0191	0060
007407144366M8	00740714000001	00740000000000
2569	0668	0071
006804301603M8	00680430000001	00680000000000
8496	0899	0084
005202557505M8	00520255000001	00520000000000
2345	0792	0060
003706531408V7	00370653000001	00370000000000
007907969725M8	00790796000001	00790000000000
5141	0917	0087
005202553564M8	00520255000001	00520000000000
008706982571M8	00870698000001	00870000000000
4700	0714	0074
004508034799M8	00450803000001	00450000000000
006006612781M8	00600661000001	00600000000000
007105027248M8	00710502000001	00710000000000
008408995017M8	00840899000001	00840000000000
2909	0431	0037
8045	0725	0037
006009289056M8	00600928000001	00600000000000
006804304611M8	00680430000001	00680000000000
6631	0708	0064
3205	0431	0037
003706537392M8	00370653000001	00370000000000
6885	0899	0084
004501302767M8	00450130000001	00450000000000
006804306200M8	00680430000001	00680000000000
004501307337M8	00450130000001	00450000000000
006007927358M8	00600792000001	00600000000000
005002478295M8	00500247000001	00500000000000
8280	0142	0087
1971	0205	0039
7423	0291	0079
3558	0698	0087
5144	0834	0052
007407144310M8	00740714000001	00740000000000
3619	0615	0084
008701428378M8	00870142000001	00870000000000
9030	0698	0087
003701412877M8	00370141000001	00370000000000
003704312931M7	00370431000001	00370000000000
006806384101M8	00680638000001	00680000000000
005601844351M8	00560184000001	00560000000000
2941	0901	0060
005004863842M8	00500486000001	00500000000000
4427	0142	0087
0441	0441	0056
008709178669M8	00870917000001	00870000000000
6300	0834	0052
6230	0928	0060
6627	0255	0052
004504425569M8	00450442000001	00450000000000
7607	0809	0068
8363	0732	0087
007404782695M8	00740478000001	00740000000000
003703389749M8	00370338000001	00370000000000
2040	0917	0087
005604415626M8	00560441000001	00560000000000
008706981956M8	00870698000001	00870000000000
006807121217M8	00680712000001	00680000000000
2446	0441	0056
006402846163M8	00640284000001	00640000000000
005202556402M8	00520255000001	00520000000000
5774	0486	0050
3590	0441	0056
008707324798M8	00870732000001	00870000000000
2124	0214	0068
9652	0712	0068
6128	0698	0087
008707323444M8	00870732000001	00870000000000
008707324434M8	00870732000001	00870000000000
007106685588M8	00710668000001	00710000000000
6288	0732	0087
006001917138M8	00600191000001	00600000000000
6544	0586	0079
7921	0486	0050
3598	0714	0074
3277	0732	0087
8355	0732	0087
1268	0714	0074
2621	0618	0050
008706983698M8	00870698000001	00870000000000
003703536497M8	00370353000001	00370000000000
007407142056M8	00740714000001	00740000000000
3052	0486	0050
003704315290M8	00370431000001	00370000000000
3194	0442	0045
4022	0255	0052
3471	0245	0037
7436	0698	0087
2281	0130	0045
006806382462M8	00680638000001	00680000000000
005004861481M7	00500486000001	00500000000000
3784	0624	0068
003902054128M8	00390205000001	00390000000000
6725	0638	0068
3595	0171	0079
008408992093M8	00840899000001	00840000000000
5105	0901	0060
1199	0480	0084
006001912715M8	00600191000001	00600000000000
5133	0502	0071
4983	0247	0050
6614	0714	0074
7855	0622	0064
008706984568M8	00870698000001	00870000000000
007407145472M8	00740714000001	00740000000000
*	*	*
5621	0714	0074
4286	0917	0087
1022	0291	0079
007105027909M8	00710502000001	00710000000000
7689	0714	0074
3284	0714	0074
003703056198M8	00370305000001	00370000000000
006407082140M8	00640708000001	00640000000000
007106684443M8	00710668000001	00710000000000
007407148502M8	00740714000001	00740000000000
8011	0142	0087
6520	0284	0064
1694	0586	0079
006001912191M8	00600191000001	00600000000000
00560907000001	00560907000001	00560000000000
008408996971M8	00840899000001	00840000000000
003701415082M8	00370141000001	00370000000000
003706538774V8	00370653000001	00370000000000
008406154060M8	00840615000001	00840000000000
003703532804M8	00370353000001	00370000000000
003703537562M8	00370353000001	00370000000000
008408995237M8	00840899000001	00840000000000
6976	0824	0081
8575	0171	0079
007905289423M8	00790528000001	00790000000000
4581	0714	0074
008706982627M8	00870698000001	00870000000000
7468	0191	0060
008108554576M8	00810855000001	00810000000000
005604411556M8	00560441000001	00560000000000
4816	0586	0079
1275	0901	0060
007905869053M8	00790586000001	00790000000000
005208344873M8	00520834000001	00520000000000
007106689046M8	00710668000001	00710000000000
6439	0698	0087
8233	0698	0087
004508033375M8	00450803000001	00450000000000
008709190000L4	008709190000L4	00870000000000
003708904534V8	00370890000001	00370000000000
008408996697M8	00840899000001	00840000000000
2982	0714	0074
008706986434M8	00870698000001	00870000000000
005604412826M8	00560441000001	00560000000000
5096	0855	0081
008406151386M8	00840615000001	00840000000000
005002474983M8	00500247000001	00500000000000
007407144826M8	00740714000001	00740000000000
007407144345M8	00740714000001	00740000000000
00370305000001	00370305000001	00370000000000
1559	0928	0060
8153	0714	0074
9749	0338	0037
3857	0431	0037
5471	0901	0060
6374	0792	0060
5226	0255	0052
3469	0622	0064
6515	0586	0079
006009017028M7	00600901000001	00600000000000
007905282039M8	00790528000001	00790000000000
007902911752M8	00790291000001	00790000000000
6184	0478	0074
005004864459M7	00500486000001	00500000000000
007407142747M8	00740714000001	00740000000000
007407141064M8	00740714000001	00740000000000
007905865337M8	00790586000001	00790000000000
008706986592M8	00870698000001	00870000000000
9329	0698	0087
9666	0502	0071
4318	0668	0071
006406225061M8	00640622000001	00640000000000
5162	0502	0071
2379	0618	0050
003707256603M8	00370725000001	00370000000000
008706983095M8	00870698000001	00870000000000
9414	0142	0087
9445	0698	0087
003703534188M8	00370353000001	00370000000000
007407144009M8	00740714000001	00740000000000
007905287441M8	00790528000001	00790000000000
7332	0834	0052
2619	0638	0068
008108556887M8	00810855000001	00810000000000
9501	0618	0050
6474	0732	0087
008408999186M8	00840899000001	00840000000000
5529	0928	0060
6984	0586	0079
4895	0171	0079
4882	0255	0052
006006611345M8	00600661000001	00600000000000
4906	0291	0079
003703535901M8	00370353000001	00370000000000
007103178976M8	00710317000001	00710000000000
006009019394M7	00600901000001	00600000000000
008709178620M8	00870917000001	00870000000000
9531	0478	0074
0903	0903	0060
003704314878M8	00370431000001	00370000000000
007105024775M8	00710502000001	00710000000000
008108243596M8	00810824000001	00810000000000
9583	0291	0079
6528	0431	0037
1132	0442	0045
7048	0247	0050
2406	0480	0084
3092	0928	0060
007407141300M8	00740714000001	00740000000000
008709175862M8	00870917000001	00870000000000
007407145847M8	00740714000001	00740000000000
1637	0191	0060
006009032019M8	00600903000001	00600000000000
005208342228M8	00520834000001	00520000000000
006806384219M8	00680638000001	00680000000000
003707195260M8	00370719000001	00370000000000
006808095468M8	00680809000001	00680000000000
005002471950M8	00500247000001	00500000000000
006406226120M8	00640622000001	00640000000000
8869	0653	0037
006407089175M8	00640708000001	00640000000000
7330	0714	0074
6621	0480	0084
006402841058M8	00640284000001	00640000000000
7773	0698	0087
4437	0191	0060
4053	0714	0074
005601845971M8	00560184000001	00560000000000
2725	0171	0079
005601848465M8	00560184000001	00560000000000
008706987272M8	00870698000001	00870000000000
5656	0338	0037
5828	0615	0084
007407143598M8	00740714000001	00740000000000
004508033269M8	00450803000001	00450000000000
007905864904M8	00790586000001	00790000000000
007907964487M8	00790796000001	00790000000000
6828	0141	0037
006407088370M8	00640708000001	00640000000000
3693	0618	0050
6857	0557	0081
007407142148M8	00740714000001	00740000000000
0698	0698	0087
007901713595M8	00790171000001	00790000000000
007407146427M8	00740714000001	00740000000000
006009283783M8	00600928000001	00600000000000
1375	0502	0071
8813	0732	0087
8088	0430	0068
9241	0714	0074
4041	0714	0074
008706985822M8	00870698000001	00870000000000
008707325938M8	00870732000001	00870000000000
6408	0824	0081
1625	0480	0084
008707327404M8	00870732000001	00870000000000
006804303616M8	00680430000001	00680000000000
7547	0732	0087
6870	0255	0052
003902058209M8	00390205000001	00390000000000
007102933919M8	00710293000001	00710000000000
1366	0430	0068
005006185253M8	00500618000001	00500000000000
006804307087M8	00680430000001	00680000000000
6839	0698	0087
005202557961M8	00520255000001	00520000000000
5473	0430	0068
003902054371M8	00390205000001	00390000000000
5615	0130	0045
008404809235M8	00840480000001	00840000000000
007905288512M7	00790528000001	00790000000000
008706984830M8	00870698000001	00870000000000
0045	0045	0045
3715	0714	0074
004504425088M8	00450442000001	00450000000000
5085	0712	0068
5283	0698	0087
007407144608M8	00740714000001	00740000000000
5265	0714	0074
3989	0714	0074
6615	0205	0039
7978	0615	0084
4681	0317	0071
4385	0714	0074
003902054910M8	00390205000001	00390000000000
1408	0653	0037
005202551188M8	00520255000001	00520000000000
003902052561M8	00390205000001	00390000000000
3919	0293	0071
3526	0809	0068
007901715393M8	00790171000001	00790000000000
003707259362M8	00370725000001	00370000000000
4811	0317	0071
7013	0712	0068
2087	0293	0071
4386	0917	0087
1741	0245	0037
6811	0214	0068
007407147234M8	00740714000001	00740000000000
003707255110M8	00370725000001	00370000000000
7683	0834	0052
6448	0714	0074
006406224446M8	00640622000001	00640000000000
4743	0638	0068
007407144636M8	00740714000001	00740000000000
007407149581M8	00740714000001	00740000000000
008706988817M8	00870698000001	00870000000000
008404806106M8	00840480000001	00840000000000
9035	0430	0068
3334	0698	0087
003706534378M8	00370653000001	00370000000000
1954	0651	0037
008707323701M8	00870732000001	00870000000000
006407082256M8	00640708000001	00640000000000
6705	0712	0068
003707840596L6	003707840000L4	00370000000000
003703536606M8	00370353000001	00370000000000
005208346863M8	00520834000001	00520000000000
006001914052M8	00600191000001	00600000000000
4807	0430	0068
007106684318M8	00710668000001	00710000000000
006806383599M8	00680638000001	00680000000000
007905866515M8	00790586000001	00790000000000
005202552733M8	00520255000001	00520000000000
006802146103M8	00680214000001	00680000000000
007901716393M7	00790171000001	00790000000000
1207	0714	0074
8681	0615	0084
005002474278M8	00500247000001	00500000000000
3160	0205	0039
003703535208M8	00370353000001	00370000000000
7376	0272	0060
6834	0247	0050
9161	0796	0079
7828	0283	0079
007407149089M8	00740714000001	00740000000000
9833	0899	0084
3380	0502	0071
008706982936M8	00870698000001	00870000000000
1131	0284	0064
4387	0732	0087
008706981745M8	00870698000001	00870000000000
2150	0442	0045
8530	0514	0045
007907938151L5	00790793000001	00790000000000
006007922318M8	00600792000001	00600000000000
007907932050M7	00790793000001	00790000000000
007407142200M8	00740714000001	00740000000000
008709174401M8	00870917000001	00870000000000
005604418785M8	00560441000001	00560000000000
003707255028M8	00370725000001	00370000000000
006402849229M8	00640284000001	00640000000000
4986	0622	0064
5658	0732	0087
007407143882M8	00740714000001	00740000000000
005604411469M8	00560441000001	00560000000000
007106683720M7	00710668000001	00710000000000
008706986439M8	00870698000001	00870000000000
007901716164M8	00790171000001	00790000000000
005202553960M8	00520255000001	00520000000000
006808092251M8	00680809000001	00680000000000
008707323359M8	00870732000001	00870000000000
003702454704M8	00370245000001	00370000000000
3188	0247	0050
006009019153M8	00600901000001	00600000000000
008706988738M8	00870698000001	00870000000000
3190	0130	0045
1652	0618	0050
2161	0668	0071
006009037407M8	00600903000001	00600000000000
1147	0899	0084
4785	0732	0087
6022	0141	0037
006009287603M7	00600928000001	00600000000000
5167	0917	0087
9327	0205	0039
006808094774M8	00680809000001	00680000000000
4667	0338	0037
008706988358M8	00870698000001	00870000000000
005202551100M8	00520255000001	00520000000000
8820	0792	0060
9380	0431	0037
007407146737M8	00740714000001	00740000000000
7645	0284	0064
007407149649M8	00740714000001	00740000000000
003703387963M8	00370338000001	00370000000000
8953	0714	0074
005205677428M8	00520567000001	00520000000000
007407142356M8	00740714000001	00740000000000
007901716031M8	00790171000001	00790000000000
4278	0247	0050
005002478558M8	00500247000001	00500000000000
9699	0855	0081
007407147051M8	00740714000001	00740000000000
00790528000001	00790528000001	00790000000000
4263	0431	0037
7513	0714	0074
006804301649M8	00680430000001	00680000000000
006001911986M8	00600191000001	00600000000000
008706986386M8	00870698000001	00870000000000
008707326288M8	00870732000001	00870000000000
4256	0171	0079
9315	0714	0074
9767	0431	0037
00680809000001	00680809000001	00680000000000
007103174511M8	00710317000001	00710000000000
4929	0430	0068
3772	0291	0079
3430	0615	0084
003704319752M7	00370431000001	00370000000000
9555	0809	0068
006806243746M8	00680624000001	00680000000000
005205679689M8	00520567000001	00520000000000
008408995075M8	00840899000001	00840000000000
008709172082M8	00870917000001	00870000000000
5264	0624	0068
008709177281M8	00870917000001	00870000000000
0663	0663	0060
5152	0899	0084
008108247113M8	00810824000001	00810000000000
006007923288M8	00600792000001	00600000000000
7761	0586	0079
007407144862M8	00740714000001	00740000000000
1087	0486	0050
007407144675M8	00740714000001	00740000000000
007407142274M8	00740714000001	00740000000000
2299	0245	0037
6694	0651	0037
007407147294M8	00740714000001	00740000000000
2241	0708	0064
007902919583M8	00790291000001	00790000000000
7908	0514	0045
006806386921M8	00680638000001	00680000000000
008404802406M8	00840480000001	00840000000000
006804301591M8	00680430000001	00680000000000
8977	0142	0087
005208345906M8	00520834000001	00520000000000
007106682216M8	00710668000001	00710000000000
1892	0907	0056
9372	0638	0068
007407144238M8	00740714000001	00740000000000
1134	0917	0087
4050	0586	0079
2616	0486	0050
8201	0291	0079
2800	0486	0050
006006616726M8	00600661000001	00600000000000
006804305247M8	00680430000001	00680000000000
9491	0245	0037
007105024200M8	00710502000001	00710000000000
7205	0907	0056
3690	0615	0084
006406228243M8	00640622000001	00640000000000
2398	0714	0074
003703539014M8	00370353000001	00370000000000
005604414361M8	00560441000001	00560000000000
007905288796V8	00790528000001	00790000000000
5641	0834	0052
7324	0338	0037
006009019375M7	00600901000001	00600000000000
